loan_amnt,int_rate,annual_inc,dti,emp_length,open_acc,revol_util,pub_rec,delinq_2yrs,loan_status
13375.0,16.55,76000.0,14.89,10,9.0,91.6,0.0,0.0,0
5000.0,5.32,54000.0,24.36,10,9.0,43.2,0.0,0.0,0
17000.0,5.32,45000.0,28.62,2,8.0,90.8,0.0,0.0,0
3000.0,11.53,55000.0,29.41,10,15.0,77.8,0.0,0.0,0
7475.0,16.55,17000.0,24.36,10,8.0,70.8,0.0,0.0,0
6000.0,7.89,40000.0,13.17,4,14.0,38.3,0.0,1.0,0
4000.0,14.65,70000.0,15.67,0,3.0,100.4,0.0,0.0,0
3000.0,7.89,48000.0,4.78,0,7.0,31.3,0.0,0.0,0
7200.0,13.18,57000.0,13.81,3,4.0,63.8,0.0,0.0,0
5500.0,9.99,52000.0,37.62,10,15.0,26.8,0.0,0.0,0
15000.0,10.99,64000.0,7.82,10,10.0,86.0,0.0,0.0,1
20000.0,17.57,60000.0,21.7,9,7.0,39.3,0.0,0.0,0
30000.0,13.67,140000.0,13.72,7,12.0,43.4,1.0,0.0,0
16800.0,12.69,60000.0,7.32,7,11.0,59.8,0.0,0.0,1
20000.0,7.89,65000.0,14.57,1,11.0,27.1,0.0,0.0,0
5000.0,9.99,60000.0,5.84,3,10.0,36.1,1.0,1.0,0
25000.0,16.99,77000.0,18.7,9,10.0,89.1,0.0,0.0,1
35000.0,9.17,300000.0,22.44,1,22.0,67.9,0.0,0.0,0
24000.0,10.99,83290.0,12.09,6,13.0,35.7,0.0,1.0,0
10000.0,13.99,50000.0,11.42,0,8.0,11.6,0.0,2.0,0
16000.0,9.17,78000.0,31.06,4,11.0,93.0,0.0,0.0,0
15000.0,17.57,70000.0,9.47,2,7.0,96.1,0.0,0.0,1
30000.0,23.99,150000.0,14.54,10,14.0,27.1,1.0,0.0,0
5000.0,11.53,30000.0,20.36,3,7.0,98.8,0.0,0.0,1
8500.0,13.33,32000.0,10.32,4,15.0,36.2,0.0,0.0,0
30000.0,9.17,89000.0,24.02,10,24.0,57.5,0.0,0.0,0
20000.0,6.24,145000.0,18.31,10,8.0,63.2,0.0,0.0,0
9200.0,12.29,38600.0,9.55,0,5.0,70.6,0.0,0.0,0
24000.0,18.84,80000.0,15.69,6,9.0,90.0,0.0,0.0,1
7350.0,13.33,25000.0,33.46,2,5.0,73.0,1.0,4.0,0
35000.0,16.99,104827.0,16.91,10,23.0,62.8,0.0,0.0,1
9900.0,14.33,41000.0,14.9,8,5.0,86.5,0.0,0.0,1
35000.0,13.33,115575.2,28.53,2,15.0,35.9,0.0,0.0,0
35000.0,14.65,120000.0,20.71,9,14.0,34.5,0.0,0.0,1
8000.0,12.59,30000.0,6.4,1,4.0,59.8,0.0,0.0,1
14000.0,12.29,60000.0,15.52,10,10.0,35.7,0.0,1.0,0
8400.0,12.29,120000.0,17.41,10,9.0,34.5,0.0,1.0,0
18000.0,6.68,139211.0,12.48,10,8.0,47.7,0.0,0.0,0
14000.0,12.59,85000.0,8.75,2,14.0,27.9,0.0,0.0,0
10000.0,15.41,35000.0,10.37,10,6.0,75.6,0.0,0.0,0
35000.0,9.99,150000.0,30.99,3,19.0,3.5,0.0,1.0,1
7300.0,12.29,37000.0,8.63,3,8.0,11.2,0.0,0.0,0
7700.0,17.57,80000.0,23.93,10,9.0,83.4,0.0,0.0,0
24000.0,12.69,65000.0,20.14,1,8.0,89.5,0.0,2.0,1
18000.0,5.32,110000.0,8.37,10,6.0,89.7,0.0,0.0,0
8000.0,6.49,135000.0,23.94,0,16.0,60.3,0.0,0.0,0
20000.0,16.55,115000.0,3.14,6,3.0,0.0,0.0,0.0,0
26950.0,12.29,59890.0,18.82,0,12.0,66.0,0.0,0.0,0
2500.0,9.99,60000.0,14.47,6,11.0,19.4,0.0,1.0,0
27500.0,6.24,75000.0,9.25,1,18.0,17.2,0.0,0.0,0
22300.0,24.99,62000.0,32.66,10,10.0,5.8,0.0,0.0,1
9500.0,9.17,50000.0,16.15,10,8.0,62.0,1.0,0.0,0
10000.0,7.26,70000.0,17.9,10,13.0,49.9,0.0,0.0,0
10000.0,7.26,28000.0,20.83,6,13.0,6.7,0.0,0.0,0
15200.0,13.18,75000.0,19.12,0,17.0,33.7,0.0,0.0,1
29500.0,7.26,120000.0,29.82,0,20.0,58.4,0.0,0.0,1
18200.0,5.32,112200.0,26.78,10,22.0,53.2,0.0,0.0,0
18000.0,7.26,70000.0,20.47,3,9.0,96.4,0.0,0.0,0
7000.0,13.33,37000.0,22.87,0,18.0,82.2,0.0,0.0,0
10000.0,6.24,170000.0,10.76,3,20.0,31.2,0.0,0.0,0
18000.0,9.99,60000.0,10.66,2,6.0,59.3,0.0,0.0,0
20000.0,5.32,108000.0,12.97,1,14.0,20.4,0.0,0.0,0
25000.0,7.26,75000.0,25.55,10,18.0,13.0,0.0,1.0,0
17350.0,14.65,86000.0,27.34,10,13.0,70.3,0.0,2.0,1
18000.0,6.39,101000.0,9.15,5,5.0,62.7,2.0,0.0,0
7200.0,13.33,91588.0,18.49,7,19.0,75.7,1.0,0.0,0
21000.0,18.84,74800.0,22.05,10,11.0,95.8,0.0,0.0,1
35000.0,17.57,85000.0,15.61,0,11.0,45.4,0.0,0.0,0
15000.0,12.29,41700.0,31.37,6,15.0,78.0,0.0,0.0,0
15225.0,20.49,55000.0,33.21,2,7.0,44.9,0.0,0.0,0
30000.0,11.53,180000.0,9.9,10,11.0,57.6,0.0,1.0,0
8000.0,7.26,50000.0,14.33,5,10.0,64.9,0.0,0.0,0
5000.0,12.69,121000.0,18.97,9,12.0,77.7,0.0,0.0,0
15000.0,9.76,108000.0,13.08,1,12.0,7.1,2.0,0.0,0
25000.0,7.26,68000.0,19.17,8,11.0,20.5,0.0,0.0,0
14350.0,13.99,150000.0,17.74,0,19.0,62.4,0.0,2.0,0
10000.0,9.17,26000.0,29.73,3,8.0,96.8,0.0,0.0,0
4000.0,12.69,38000.0,19.55,10,4.0,95.0,1.0,0.0,0
21000.0,18.49,107300.0,11.4,10,15.0,67.4,1.0,0.0,1
31000.0,9.76,125000.0,25.74,8,17.0,78.3,0.0,1.0,1
6000.0,6.89,70000.0,15.15,0,9.0,27.6,0.0,0.0,0
25000.0,12.69,65000.0,21.47,2,3.0,97.5,0.0,0.0,1
7200.0,10.99,77000.0,5.33,10,7.0,46.7,0.0,0.0,0
24000.0,12.69,175000.0,11.27,2,14.0,61.6,0.0,0.0,0
5600.0,12.59,51000.0,16.0,6,14.0,41.4,1.0,0.0,0
22500.0,16.99,81000.0,17.36,8,8.0,73.6,1.0,0.0,1
16275.0,27.49,37000.0,18.72,1,10.0,12.3,0.0,0.0,1
35000.0,22.99,250000.0,9.06,5,18.0,58.8,0.0,0.0,0
10000.0,14.65,30000.0,13.8,10,5.0,36.3,0.0,0.0,0
17500.0,15.61,47500.0,10.06,7,5.0,99.3,0.0,0.0,0
15000.0,12.29,97000.0,25.05,2,9.0,68.5,0.0,0.0,0
25000.0,13.99,106000.0,29.9,10,17.0,80.0,0.0,0.0,0
15600.0,7.89,49000.0,27.43,0,11.0,19.4,0.0,0.0,0
5000.0,8.18,45500.0,11.32,2,4.0,31.0,1.0,0.0,0
12000.0,12.29,27656.0,38.89,2,26.0,31.8,0.0,0.0,0
4800.0,11.53,36982.0,19.02,2,13.0,32.6,0.0,0.0,0
5400.0,11.53,35000.0,9.88,1,9.0,28.8,0.0,1.0,0
7000.0,10.99,59000.0,27.22,10,23.0,76.1,0.0,0.0,0
19000.0,12.69,110000.0,20.48,10,15.0,60.6,0.0,0.0,0
1400.0,10.99,55200.0,14.0,1,5.0,91.3,0.0,0.0,0
5000.0,9.17,38000.0,3.73,4,13.0,75.4,0.0,0.0,0
25000.0,6.24,100000.0,14.45,10,7.0,82.5,0.0,0.0,0
10000.0,14.65,42000.0,6.26,2,15.0,59.0,1.0,0.0,1
21000.0,11.49,80000.0,17.78,10,8.0,80.7,0.0,2.0,0
4000.0,13.33,75000.0,27.74,10,6.0,89.3,0.0,1.0,0
12000.0,13.99,65000.0,20.73,0,11.0,79.8,0.0,3.0,1
12000.0,19.19,65000.0,10.73,10,8.0,68.1,0.0,0.0,0
10675.0,18.25,60000.0,9.25,3,11.0,59.9,0.0,0.0,0
9000.0,11.53,45000.0,16.72,0,17.0,33.2,0.0,0.0,0
10000.0,13.18,115000.0,14.08,10,10.0,12.3,0.0,0.0,0
8000.0,7.26,80000.0,19.26,4,13.0,21.0,2.0,0.0,1
30000.0,10.99,117000.0,19.71,10,10.0,73.0,0.0,0.0,0
13650.0,16.99,49000.0,34.89,10,20.0,45.4,0.0,0.0,0
15000.0,18.25,39400.0,25.28,0,13.0,84.5,0.0,2.0,0
9900.0,15.61,45000.0,6.75,2,10.0,46.1,0.0,1.0,1
10000.0,13.33,75000.0,12.21,4,16.0,75.9,0.0,0.0,0
5000.0,7.89,30000.0,17.76,6,16.0,36.3,0.0,1.0,0
13000.0,11.99,65000.0,14.77,7,13.0,60.8,1.0,0.0,0
10000.0,13.33,54000.0,20.62,4,10.0,36.1,1.0,1.0,0
13475.0,15.41,37440.0,16.28,4,10.0,46.6,0.0,1.0,1
16000.0,12.69,61800.0,17.15,10,11.0,89.7,0.0,0.0,1
22000.0,10.99,95000.0,10.13,6,6.0,82.7,0.0,0.0,0
35000.0,23.99,150000.0,23.31,3,11.0,40.9,2.0,0.0,1
7700.0,9.76,104000.0,12.1,5,20.0,28.9,0.0,0.0,0
25000.0,14.65,80000.0,15.68,10,10.0,79.3,0.0,0.0,0
16025.0,14.65,90000.0,2.12,10,9.0,25.0,1.0,0.0,0
35000.0,18.55,110000.0,18.24,2,9.0,77.9,0.0,0.0,1
10000.0,11.53,55000.0,15.86,4,5.0,32.8,0.0,0.0,0
33000.0,12.05,90000.0,21.56,10,17.0,56.0,0.0,0.0,0
13000.0,18.55,40000.0,14.9,5,19.0,32.6,0.0,0.0,1
12500.0,11.53,74000.0,25.28,10,9.0,82.3,0.0,1.0,0
8000.0,9.17,32000.0,17.4,2,12.0,30.6,0.0,1.0,0
4500.0,13.33,26500.0,22.19,10,8.0,90.3,0.0,0.0,0
4000.0,8.18,33000.0,20.98,1,13.0,30.7,0.0,0.0,0
10225.0,15.61,44000.0,38.73,2,15.0,34.3,0.0,4.0,0
8000.0,12.05,92000.0,21.04,7,13.0,47.6,0.0,0.0,0
25000.0,10.99,69927.0,28.13,10,12.0,97.0,0.0,0.0,1
4000.0,11.22,34000.0,29.65,10,13.0,6.9,2.0,0.0,0
24750.0,17.57,65000.0,23.41,10,10.0,71.2,0.0,0.0,0
14000.0,12.69,90000.0,25.43,8,17.0,80.5,0.0,0.0,1
18000.0,7.26,83000.0,21.32,2,12.0,59.2,0.0,0.0,0
25000.0,16.99,80000.0,35.31,0,8.0,80.1,0.0,0.0,1
3000.0,14.65,30500.0,12.59,1,9.0,44.3,0.0,0.0,0
15600.0,12.29,60000.0,24.48,0,10.0,28.6,0.0,0.0,0
14000.0,9.99,90000.0,10.24,5,11.0,76.5,0.0,0.0,0
35000.0,14.65,98000.0,18.16,8,12.0,79.0,0.0,0.0,0
13000.0,6.24,50000.0,26.98,4,18.0,61.0,0.0,0.0,1
30000.0,9.99,136000.0,28.14,2,13.0,73.9,0.0,0.0,0
10000.0,13.33,35000.0,23.35,10,13.0,34.3,0.0,0.0,1
25425.0,16.99,53000.0,30.78,0,10.0,75.9,0.0,0.0,0
21475.0,17.57,118000.0,17.61,2,10.0,66.1,1.0,0.0,0
16800.0,8.18,74000.0,15.83,2,6.0,51.7,0.0,0.0,0
27000.0,6.24,70000.0,11.7,10,16.0,24.3,0.0,0.0,0
35000.0,9.17,110000.0,14.67,10,19.0,60.2,0.0,0.0,0
24000.0,17.57,188000.0,27.57,0,12.0,74.6,0.0,0.0,1
15000.0,14.65,72000.0,12.07,0,11.0,53.4,0.0,0.0,0
30000.0,13.99,148000.0,11.99,2,15.0,62.5,0.0,1.0,1
11000.0,15.61,60000.0,20.72,8,16.0,61.6,0.0,0.0,0
24000.0,10.99,150000.0,14.49,2,13.0,71.8,1.0,0.0,0
14000.0,5.32,120000.0,22.44,7,15.0,16.1,0.0,0.0,0
8000.0,12.59,36000.0,19.13,5,9.0,66.7,0.0,0.0,0
20000.0,17.57,62000.0,26.66,6,10.0,92.3,0.0,1.0,1
10000.0,10.99,40000.0,13.29,1,11.0,39.4,3.0,0.0,1
8000.0,8.18,45000.0,4.21,2,4.0,19.6,0.0,0.0,0
12000.0,10.64,70000.0,5.5,1,7.0,23.0,0.0,0.0,0
15000.0,8.38,82000.0,7.06,10,4.0,39.4,0.0,0.0,0
29900.0,19.99,65000.0,2.07,10,8.0,20.7,0.0,0.0,1
10000.0,19.19,75000.0,11.7,10,16.0,54.3,0.0,0.0,1
12000.0,12.29,190000.0,11.77,10,12.0,53.0,1.0,0.0,0
8500.0,10.99,40000.0,12.87,10,7.0,70.6,1.0,0.0,0
7000.0,7.89,76000.0,6.99,6,29.0,11.2,3.0,0.0,0
35000.0,16.55,83000.0,30.41,7,14.0,73.2,0.0,0.0,0
3075.0,14.65,39000.0,6.77,1,11.0,89.0,1.0,0.0,0
16000.0,11.53,42000.0,23.75,3,13.0,74.4,0.0,0.0,1
5400.0,7.89,52000.0,24.16,8,11.0,22.2,0.0,0.0,0
5000.0,12.69,38000.0,3.79,7,4.0,73.8,1.0,0.0,0
15000.0,9.99,85000.0,18.68,4,18.0,69.8,1.0,0.0,1
10000.0,13.33,45000.0,36.77,10,14.0,69.3,0.0,0.0,1
28000.0,12.29,109500.0,31.3,10,10.0,84.4,0.0,1.0,1
11500.0,6.89,250000.0,8.92,3,7.0,69.2,1.0,0.0,0
10000.0,12.69,72000.0,37.15,4,16.0,48.0,0.0,0.0,0
20000.0,19.99,40000.0,20.22,10,13.0,56.0,1.0,0.0,0
3000.0,13.99,94199.0,24.77,10,13.0,98.6,0.0,1.0,0
8700.0,12.69,33000.0,22.79,0,4.0,64.0,0.0,0.0,0
10000.0,6.92,75000.0,17.45,3,10.0,30.7,0.0,0.0,0
7000.0,17.86,27000.0,32.9,8,10.0,94.7,0.0,0.0,0
20000.0,6.89,79000.0,31.61,10,17.0,28.9,0.0,1.0,0
21000.0,20.99,200000.0,8.53,4,17.0,52.0,0.0,0.0,0
20000.0,12.29,145000.0,18.38,10,13.0,28.3,0.0,0.0,0
10000.0,13.18,45000.0,35.63,1,9.0,57.6,0.0,0.0,0
10400.0,8.18,180000.0,9.74,3,12.0,33.9,1.0,0.0,0
5000.0,7.89,45000.0,30.48,10,12.0,80.6,0.0,0.0,0
24000.0,13.99,100000.0,9.47,4,10.0,32.8,0.0,0.0,0
30000.0,9.17,110000.0,16.66,4,12.0,35.3,0.0,0.0,0
35000.0,7.89,104000.0,17.64,10,18.0,82.5,0.0,0.0,0
7200.0,26.77,20000.0,30.07,3,11.0,25.2,0.0,0.0,0
10000.0,11.53,40250.0,20.24,3,20.0,47.1,1.0,0.0,0
10000.0,7.89,126000.0,14.85,10,16.0,49.1,0.0,1.0,0
15000.0,13.44,31000.0,6.81,0,11.0,61.0,0.0,1.0,0
10500.0,11.53,59000.0,18.88,7,13.0,80.4,0.0,0.0,0
3000.0,9.99,90000.0,8.27,1,8.0,69.3,0.0,0.0,0
35000.0,18.84,86000.0,25.13,7,18.0,85.3,0.0,0.0,0
10225.0,21.67,42725.0,30.37,1,10.0,98.7,0.0,0.0,1
10800.0,13.33,63000.0,29.66,10,16.0,17.9,0.0,0.0,0
12000.0,7.26,100000.0,20.05,2,22.0,22.5,0.0,0.0,0
8000.0,10.99,67790.0,5.61,10,9.0,11.6,1.0,2.0,0
25625.0,12.59,250000.0,22.42,10,18.0,53.2,0.0,0.0,0
20000.0,13.99,63000.0,6.06,4,5.0,66.2,0.0,0.0,0
14000.0,9.99,35000.0,9.57,10,2.0,62.7,0.0,0.0,0
13250.0,12.29,65000.0,18.13,7,15.0,88.4,0.0,1.0,1
10000.0,7.89,70000.0,2.64,2,10.0,18.5,2.0,0.0,0
9500.0,12.69,125000.0,8.14,4,5.0,95.6,0.0,0.0,0
12000.0,13.33,55000.0,10.26,10,9.0,70.7,1.0,0.0,0
20000.0,8.18,125000.0,9.31,6,14.0,50.4,0.0,0.0,0
19200.0,11.53,60000.0,11.38,0,17.0,42.3,0.0,0.0,0
18000.0,7.26,90000.0,19.17,0,11.0,5.9,0.0,0.0,0
35000.0,9.8,140000.0,12.22,1,15.0,13.3,0.0,0.0,0
5000.0,18.25,56435.29,26.18,8,13.0,47.6,0.0,0.0,0
7000.0,18.84,38000.0,16.55,4,5.0,47.3,1.0,0.0,1
13200.0,12.69,45000.0,30.93,3,14.0,81.6,0.0,0.0,0
12000.0,13.99,42000.0,19.66,4,11.0,51.5,1.0,0.0,0
20400.0,19.99,60000.0,14.88,10,13.0,90.8,0.0,1.0,0
20500.0,9.99,77000.0,16.49,10,12.0,36.7,0.0,0.0,0
2400.0,12.69,45000.0,16.0,1,32.0,26.1,0.0,0.0,0
28600.0,21.99,65000.0,8.01,3,5.0,42.8,0.0,0.0,0
35000.0,14.33,135000.0,20.29,2,21.0,59.8,0.0,0.0,0
20000.0,20.49,90043.0,25.31,10,18.0,74.7,0.0,0.0,1
1450.0,12.59,75000.0,23.34,10,8.0,30.6,0.0,1.0,0
5500.0,6.24,43000.0,20.23,9,8.0,35.6,0.0,0.0,0
22675.0,19.99,54000.0,27.8,8,8.0,54.3,1.0,0.0,1
27300.0,15.41,140000.0,15.51,2,8.0,45.8,0.0,1.0,0
15000.0,5.93,60000.0,28.6,10,4.0,72.1,0.0,0.0,0
8500.0,10.99,55000.0,15.36,10,17.0,34.9,1.0,0.0,0
30400.0,11.99,67600.0,27.98,2,8.0,49.0,0.0,1.0,1
16000.0,13.33,48000.0,21.05,10,8.0,35.0,1.0,1.0,0
10425.0,17.86,43000.0,22.86,10,22.0,17.2,1.0,0.0,1
10000.0,6.24,90000.0,14.44,10,17.0,41.8,0.0,0.0,0
20000.0,12.29,55000.0,30.07,10,10.0,70.7,0.0,1.0,1
4500.0,7.26,36000.0,13.0,9,7.0,26.7,1.0,0.0,0
9600.0,10.99,130000.0,8.43,1,23.0,58.8,0.0,3.0,0
24000.0,11.22,176500.0,18.37,10,31.0,42.5,0.0,0.0,0
35000.0,27.88,362000.0,23.5,2,34.0,73.1,0.0,0.0,1
20000.0,15.61,60000.0,30.76,10,11.0,63.4,1.0,0.0,0
35000.0,14.65,117000.0,12.49,7,10.0,92.7,0.0,0.0,0
11000.0,7.89,40000.0,21.45,10,16.0,32.3,0.0,2.0,0
5000.0,7.89,72000.0,9.55,9,12.0,21.1,2.0,1.0,0
10800.0,8.18,55000.0,13.83,3,13.0,15.1,0.0,0.0,0
11950.0,9.99,34000.0,17.51,8,6.0,64.3,0.0,0.0,0
6000.0,10.99,25000.0,23.52,8,9.0,41.0,0.0,0.0,0
35000.0,18.25,97000.0,21.68,8,18.0,76.2,0.0,4.0,0
17000.0,19.19,50000.0,23.21,3,11.0,90.7,0.0,0.0,1
2500.0,7.89,67500.0,19.17,3,7.0,95.9,0.0,0.0,0
2525.0,12.69,45000.0,16.62,10,12.0,37.1,0.0,0.0,0
35000.0,13.99,145000.0,7.14,10,12.0,64.3,0.0,0.0,0
28000.0,11.22,90000.0,20.97,10,16.0,61.2,0.0,0.0,0
15000.0,6.89,84000.0,30.12,10,20.0,22.7,0.0,0.0,0
6500.0,11.53,64000.0,20.68,8,9.0,45.5,0.0,0.0,0
5000.0,13.99,47400.0,14.38,2,6.0,42.6,1.0,0.0,0
9750.0,19.19,60000.0,8.44,3,18.0,47.4,0.0,0.0,1
3600.0,6.89,107500.0,32.82,6,34.0,11.2,0.0,0.0,0
29500.0,7.26,170000.0,20.82,2,12.0,62.7,0.0,0.0,0
25450.0,13.33,52000.0,28.36,10,13.0,61.3,0.0,0.0,0
21600.0,17.86,84000.0,18.8,10,13.0,81.9,0.0,0.0,0
6100.0,5.32,73000.0,16.98,10,11.0,35.2,0.0,1.0,0
6000.0,7.89,38000.0,17.06,3,14.0,15.4,1.0,0.0,0
18000.0,13.99,80000.0,16.68,3,6.0,79.6,0.0,0.0,0
5100.0,18.25,32000.0,27.19,5,5.0,78.1,0.0,0.0,0
9800.0,13.44,40000.0,39.6,4,8.0,53.6,0.0,1.0,1
12000.0,13.33,30000.0,28.52,10,15.0,43.1,0.0,1.0,1
5000.0,9.17,35000.0,16.26,8,11.0,30.3,0.0,0.0,0
22400.0,12.29,88000.0,21.3,10,7.0,62.3,0.0,0.0,0
21000.0,11.53,101500.0,17.89,6,13.0,75.1,0.0,1.0,0
4500.0,16.55,41000.0,20.02,8,8.0,85.4,0.0,0.0,0
10000.0,11.53,60000.0,21.99,4,9.0,92.8,0.0,0.0,1
30000.0,9.99,68000.0,16.25,9,13.0,13.7,0.0,0.0,0
20000.0,8.18,56000.0,19.48,5,14.0,29.9,0.0,0.0,0
15000.0,12.69,150000.0,16.55,8,17.0,35.2,1.0,0.0,0
5000.0,12.59,19800.0,29.94,10,7.0,63.3,1.0,0.0,0
28175.0,9.17,195000.0,19.93,10,19.0,43.4,5.0,0.0,1
24000.0,5.32,400000.0,9.41,10,15.0,43.0,0.0,0.0,0
10000.0,12.69,52000.0,16.96,5,14.0,49.0,0.0,0.0,1
24000.0,10.99,285000.0,19.92,10,28.0,87.0,0.0,0.0,0
15000.0,16.55,70000.0,34.75,10,14.0,90.3,0.0,0.0,0
6500.0,9.17,56000.0,7.12,10,4.0,52.9,1.0,0.0,0
7125.0,17.86,20000.0,38.9,0,6.0,64.8,0.0,0.0,0
10000.0,19.99,92000.0,1.81,10,4.0,46.8,0.0,0.0,1
15000.0,9.17,41500.0,19.26,10,4.0,60.5,0.0,0.0,1
15400.0,18.99,94500.0,10.53,10,13.0,73.5,2.0,0.0,0
12000.0,11.53,80000.0,11.16,10,12.0,67.5,0.0,0.0,1
20750.0,16.55,54080.0,35.15,7,12.0,90.7,0.0,0.0,1
28000.0,8.18,110000.0,14.82,10,13.0,49.0,0.0,0.0,0
18000.0,14.33,60000.0,18.34,10,13.0,94.5,0.0,0.0,1
15000.0,7.89,50000.0,22.55,0,10.0,42.8,0.0,0.0,0
19100.0,9.99,70000.0,35.83,5,24.0,6.1,0.0,0.0,0
10800.0,20.99,70000.0,22.9,10,10.0,46.0,1.0,0.0,0
7200.0,12.69,30000.0,8.28,10,4.0,86.1,0.0,0.0,0
7000.0,7.89,36000.0,11.9,0,7.0,58.9,0.0,0.0,0
3000.0,13.99,80000.0,21.56,0,7.0,85.3,0.0,0.0,0
8000.0,9.17,92000.0,9.84,9,8.0,69.5,0.0,0.0,0
9000.0,6.24,85351.0,21.26,3,22.0,31.3,0.0,0.0,0
20000.0,15.61,100000.0,20.05,3,14.0,49.1,0.0,0.0,1
9000.0,8.18,23000.0,5.58,1,43.0,28.5,0.0,0.0,1
6500.0,9.17,46000.0,23.06,10,8.0,56.1,0.0,0.0,0
9500.0,6.24,142000.0,19.57,2,14.0,58.7,1.0,0.0,0
27500.0,9.17,70000.0,23.11,10,15.0,60.2,0.0,0.0,0
25000.0,11.48,135000.0,4.65,10,16.0,13.5,0.0,0.0,0
18000.0,15.61,49700.0,29.17,4,21.0,43.6,2.0,0.0,0
30000.0,12.69,95000.0,18.93,3,10.0,68.8,0.0,0.0,0
20000.0,9.17,120000.0,9.37,4,12.0,77.9,1.0,0.0,0
15825.0,17.86,36000.0,30.98,5,8.0,82.2,0.0,0.0,1
5500.0,16.99,50000.0,19.35,10,8.0,56.2,0.0,0.0,0
12000.0,13.99,55000.0,18.18,8,7.0,85.4,0.0,0.0,0
6000.0,6.99,53000.0,20.52,1,8.0,55.8,0.0,0.0,0
18000.0,6.68,120000.0,13.8,6,13.0,46.8,1.0,0.0,0
10800.0,12.69,48627.0,31.02,2,16.0,71.1,0.0,0.0,0
4975.0,11.53,76104.0,11.49,2,6.0,62.0,1.0,2.0,0
18000.0,6.89,60000.0,7.96,7,6.0,52.5,0.0,0.0,0
